Name                    Interi time           Scipy time              Obj fun               Interi                Scipy
25FV47                         0.13                 0.97              5501.85                  nan   -88842332191716.03
ADLITTLE                       9.56                 0.08            225494.96            225494.96            225494.96
AFIRO                          5.95                 0.10              -464.75              -464.75              -464.75
AGG2                          29.77                 0.40         -20239252.36         600217797.13         -20239100.64
AGG3                          24.62                 0.28          10312115.94         317872010.54          10312115.21
BANDM                         18.53                 0.36              -158.63              -158.63              -158.63
BNL1                           0.08                 0.63              1977.63                  nan              1977.63
BNL2                         688.25                 5.30              1811.24              1820.36              1811.24
CZPROB                        55.42                 2.70           2185196.70                  nan           2185196.70
D2Q06C                       236.40                18.42            122784.24                  nan            122784.22
DEGEN2                        82.42                 0.42             -1435.18             -1435.18             -1435.18
DEGEN3                       700.60                 4.07              -987.29              -987.29              -987.29
E226                           7.67                 0.13               -18.75                  nan               -18.75
